trackName,msPlayed,duration_ms,hoursPlayed,Percentage_Listened
All Eyes on You (feat. Chris Brown & Nicki Minaj),75745,223973,0.02,0.34
All Falls Down,2741557,3352605,0.76,0.82
All Good Things (Come To An End),716326,1555935,0.2,0.46
All In,7503123,8425728,2.08,0.89
All In My Head (Flex) (feat. Fetty Wap),210573,210573,0.06,1.0
All My Friends (feat. Tinashe & Chance the Rapper),1538454,2067723,0.43,0.74
All Night,405305,725679,0.11,0.56
All Night (feat. Knox Fortune),141542,141542,0.04,1.0
All The Way Up (Remix),253760,284831,0.07,0.89
All The Way Up (feat. Infared),742782,959710,0.21,0.77
All We Got (feat. Kanye West & Chicago Children's Choir),569804,611382,0.16,0.93
All Your Fault,34319,224387,0.01,0.15
All of My Years,459000,459000,0.13,1.0
All the Above (feat. T-Pain),22620,319940,0.01,0.07
All the Smoke (feat. Gunna & Wiz Khalifa),51044,211237,0.01,0.24
Already Won (feat. Lil Durk),1257194,1272384,0.35,0.99
Always,544224,579309,0.15,0.94
Always Been You,284857,707160,0.08,0.4
Always On Time,490506,490266,0.14,1.0
Amazing,690702,714999,0.19,0.97
Ambition (feat. Meek Mill & Rick Ross),605092,605094,0.17,1.0
Amen (feat. Drake),561973,579414,0.16,0.97
American Boy,261061,284733,0.07,0.92
Amphetamine,341,469831,0.0,0.0
And You Know That,696353,1077670,0.19,0.65
Angels Never Cry (feat. MoneyBagg Yo & Kodak Black),260295,506244,0.07,0.51
Anime World,48969,194361,0.01,0.25
Another Day in Paradise,765000,765000,0.21,1.0
Another Night,1146876,2109300,0.32,0.54
Anti,412857,676068,0.11,0.61
Anti-Hero (feat. Lil Tecca),2672681,4433411,0.74,0.6
Anybody (feat. Nicki Minaj),157988,254947,0.04,0.62
"Anything U Want (feat. Wiz Khalifa, Jeremih & Ty Dolla $ign)",214253,214254,0.06,1.0
Anything You Want,266553,494228,0.07,0.54
Apologize,208732,416214,0.06,0.5
Appreciation,207902,407306,0.06,0.51
